id,span,matches,innings,not_out,runs,high_score,average_score,ball_faced,strike_rate,100s,50,0s,4s,6s
494230,2018-2022,21,16,1,382,52,25.46,314,121.65,0,3,0,22,21
39037,2011-2018,53,53,3,1845,102,36.9,2478,74.45,3,12,3,168,14
348144,2015-2023,95,93,12,4813,158,59.41,5406,89.03,17,24,3,437,48
681117,2017-2021,31,22,3,218,28,11.47,260,83.84,0,0,2,18,7
512191,2017-2023,65,65,4,2785,210*,45.65,3010,92.52,8,15,6,318,49
40250,2007-2015,38,36,12,966,114*,40.25,1297,74.47,1,6,3,59,6
1168651,2020-2020,2,2,0,42,29,21,33,127.27,0,0,0,4,2
1161606,2020-2023,18,7,4,10,7,3.33,33,30.3,0,0,1,1,0
318788,2013-2023,45,44,5,1749,130,44.84,2046,85.48,2,14,1,138,28
681305,2016-2022,60,35,11,363,59,15.12,299,121.4,0,2,3,24,24
480603,2015-2022,10,9,4,124,32*,24.8,148,83.78,0,0,0,9,4
568276,2017-2023,56,56,6,2545,151,50.9,3078,82.68,9,14,3,201,24
716733,2020-2022,10,8,2,199,41*,33.16,210,94.76,0,0,0,14,7
1205559,,4,3,0,10,6,3.33,18,55.55,0,0,1,1,0
348148,2016-2023,25,20,4,264,53,16.5,305,86.55,0,1,0,16,7
323389,2015-2023,52,47,9,1247,115,32.81,1444,86.35,2,8,2,99,10
1158100,2019-2023,9,5,3,47,28,23.5,28,167.85,0,0,1,8,1
1185538,2022-2023,11,6,1,51,17*,10.2,55,92.72,0,0,1,3,2
1158088,2022-2023,5,2,1,3,3,3,11,27.27,0,0,0,0,0
364343,2014-2022,36,22,10,82,12*,6.83,110,74.54,0,0,5,7,2
56143,2006-2022,224,212,30,6835,134*,37.55,8320,82.15,9,50,12,619,46
990039,2021-2022,14,6,1,18,8,3.6,26,69.23,0,0,1,1,1
401057,2014-2022,12,7,1,74,39*,12.33,95,77.89,0,0,1,8,1
436677,2014-2021,61,58,3,1768,127*,32.14,1816,97.35,2,11,6,203,43
56194,2007-2022,231,229,11,8074,158,37.03,10265,78.65,14,55,19,890,101
538506,2014-2022,52,25,9,95,17*,5.93,199,47.73,0,0,5,6,2
629059,2022-2022,7,5,0,78,50,15.6,97,80.41,0,1,1,6,3
951781,2021-2022,6,5,1,27,11,6.75,58,46.55,0,0,0,1,1
453277,2022-2023,10,6,0,43,26,7.16,52,82.69,0,0,2,5,1
299572,2013-2023,126,120,18,3724,141,36.5,4406,84.52,6,20,2,307,86
392945,2014-2022,38,29,8,364,55*,17.33,549,66.3,0,1,2,30,8
55870,2005-2022,147,142,19,4266,129*,34.68,5194,82.13,5,32,8,366,44
652687,2021-2022,5,4,1,67,56,22.33,101,66.33,0,1,0,5,0
227760,2007-2021,117,91,22,2315,105,33.55,2635,87.85,2,11,1,174,12
1072470,2018-2022,32,16,10,102,19*,17,149,68.45,0,0,2,9,2
1203995,2022-2022,2,2,2,4,4*,,3,133.33,0,0,0,0,0
922943,2017-2022,53,31,10,596,86,28.38,745,80,0,4,3,35,12
233901,2019-2023,6,6,0,111,50,18.5,147,75.51,0,1,2,12,0
348152,2021-2021,1,,,,,,,,,,,,
43685,2011-2019,25,13,6,127,32*,18.14,149,85.23,0,0,2,9,1
433614,2022-2022,4,2,1,9,9,9,10,90,0,0,0,0,1
380956,2013-2022,9,7,1,180,67,30,254,70.86,0,2,0,12,4
502714,2015-2023,93,70,26,1248,67,28.36,1396,89.39,0,3,3,94,33
559066,2015-2023,39,19,4,144,25,9.6,200,72,0,0,5,6,7
232364,2008-2023,154,93,35,720,55,12.41,747,96.38,0,1,13,56,26
38699,2006-2022,236,220,39,8607,181*,47.55,10330,83.32,21,51,9,713,147
854909,2022-2023,9,5,4,4,2,4,13,30.76,0,0,0,0,0
547749,2021-2022,8,8,2,240,120,40,260,92.3,2,0,1,16,7
774223,2018-2022,15,9,4,93,29,18.6,107,86.91,0,0,0,7,0
277906,2010-2023,161,153,16,6554,148,47.83,8094,80.97,13,42,5,594,51
272262,2013-2020,25,12,7,75,24*,15,68,110.29,0,0,2,7,4
230193,2012-2021,97,83,12,1867,100*,26.29,2288,81.59,1,11,5,129,34
325012,2015-2022,57,52,7,1296,146*,28.8,1399,92.63,1,6,5,109,44
590326,2022-2022,3,1,0,2,2,2,2,100,0,0,0,0,0
267192,2010-2022,139,124,15,4917,164,45.11,5610,87.64,12,29,5,431,47
311592,2010-2022,107,60,22,469,52*,12.34,545,86.05,0,1,10,34,12
219889,2009-2022,141,139,6,6007,179,45.16,6306,95.25,19,27,3,638,92
379504,2016-2022,76,35,13,206,36,9.36,332,62.04,0,0,3,17,1
318845,2014-2016,36,35,3,1239,132,38.71,1313,94.36,3,7,5,131,22
379145,2016-2023,41,8,6,18,9*,9,41,43.9,0,0,1,1,0
698143,2020-2021,5,2,2,14,10*,,19,73.68,0,0,0,0,0
595004,2020-2022,12,10,1,371,95,41.22,439,84.51,0,4,0,25,10
337790,2019-2023,41,35,10,1679,134,67.16,1859,90.31,4,11,1,117,30
379887,,1,,,,,,,,,,,,
318842,2018-2021,6,6,1,146,54,29.2,231,63.2,0,1,0,8,3
550187,2021-2021,1,1,0,56,56,56,79,70.88,0,1,0,5,1
826689,,1,1,0,15,15,15,52,28.84,0,0,0,2,0
342619,2021-2021,5,5,0,89,65,17.8,85,104.7,0,1,3,14,2
499594,2018-2023,16,8,6,48,17*,24,75,64,0,0,1,7,0
437316,2016-2023,48,44,4,1067,108*,26.67,1127,94.67,2,3,3,88,36
1138316,2021-2022,12,7,5,31,11*,15.5,71,43.66,0,0,1,1,0
301236,2010-2019,127,106,14,3194,139*,34.71,4419,72.27,4,21,7,246,25
370040,2015-2023,20,12,2,89,25,8.9,212,41.98,0,0,2,3,0
1152427,,9,7,1,109,32,18.16,141,77.3,0,0,1,9,3
236489,2019-2023,15,15,3,644,134,53.66,660,97.57,3,3,4,57,15
24598,2006-2022,248,230,34,7701,148,39.29,8447,91.16,14,47,18,654,220
464626,2018-2022,7,5,2,68,32,22.66,76,89.47,0,0,1,4,1
653695,2020-2021,5,1,1,7,7*,,8,87.5,0,0,0,1,0
1027781,,1,1,1,3,3*,,4,75,0,0,0,0,0
244497,2009-2023,122,56,18,703,69,18.5,700,100.42,0,1,6,71,10
303669,2013-2022,158,147,23,6207,133*,50.05,7140,86.93,16,36,7,496,46
298438,2015-2023,113,107,3,4116,180,39.57,3884,105.97,11,21,11,489,80
669365,2021-2022,11,9,0,406,122,45.11,307,132.24,1,2,0,58,4
311158,2011-2022,105,90,15,2924,102*,38.98,3075,95.08,3,21,6,238,88
461632,2015-2023,22,10,7,18,6*,6,60,30,0,0,1,0,1
573170,,1,1,0,10,10,10,10,100,0,0,0,1,0
247235,2011-2023,110,76,22,1345,95*,24.9,1486,90.51,0,5,7,100,19
308251,2015-2023,64,37,15,538,51,24.45,602,89.36,0,2,1,46,15
457279,2018-2023,8,4,2,14,9*,7,17,82.35,0,0,0,2,0
296597,2015-2022,22,19,0,567,102,29.84,634,89.43,1,3,1,72,2
351588,2015-2021,57,19,11,72,14,9,91,79.12,0,0,3,7,0
431909,2015-2022,3,3,1,23,12*,11.5,41,56.09,0,0,0,2,0
314650,2021-2022,6,6,1,85,31,17,135,62.96,0,0,2,6,0
348024,2016-2017,10,10,0,278,78,27.8,483,57.55,0,1,0,15,0
