id,bbad,bbi,bta,bwa,ct,fw,hn,hs,pr,rn,st,wk,sp
1175441,-7.12,16-Apr,10,17.12,4,0,0,8*,,10,0,16,2022-2022
425943,,,20.06,,9,,0,77,,301,2,,2015-2023
34102,-81.67,22-Jan,31.32,113,58,0,4,118,,3853,0,1,2007-2022
1070173,,,40.4,,2,,1,126*,,202,0,,2023-2023
475281,-0.39,27-Apr,23,23.39,7,0,0,22*,,69,0,33,2018-2022
1246528,,Mar-48,,22.09,2,0,0,4*,,5,0,11,2022-2023
390484,,Mar-38,,21.5,3,0,,,,,0,14,2016-2018
719715,-17.33,22-Mar,10.7,28.03,12,0,0,50,,107,0,29,2017-2023
446507,,,46.52,,34,,3,117,,1675,0,,2021-2023
376116,-1.33,19-Feb,22,23.33,3,0,0,20*,,22,0,12,2012-2022
951781,-5.48,16-Mar,20.26,25.75,18,0,0,66*,,385,0,4,2020-2022
453277,,29-Mar,,22,2,0,0,1*,,1,0,3,2022-2022
299572,-5.67,8-Apr,20.98,26.65,28,0,0,87,,1259,0,38,2013-2022
392945,-25.47,20-Mar,13.08,38.56,4,0,0,28,,157,0,16,2016-2022
55870,-5.23,15-Mar,24.29,29.53,23,0,0,66,,1482,0,43,2006-2023
380956,10.44,8-Mar,30.85,20.41,4,0,0,42,,216,0,17,2013-2022
502714,-5.11,11-Apr,17.09,22.2,31,0,0,77*,,530,0,91,2015-2023
559066,-14.53,28-Apr,7.87,22.41,26,0,0,19,,126,0,114,2014-2023
232364,-12.84,18-May,10.87,23.72,53,1,0,39,,261,0,134,2008-2022
854909,-25.93,27-Apr,5.5,31.43,2,0,0,5*,,11,0,16,2019-2023
38699,,,26.15,,46,,0,63,,1909,0,,2006-2020
277906,5.96,16-Feb,33.29,27.33,41,0,0,95,,2464,0,6,2011-2022
906783,-9.47,17-Jun,10.5,19.97,3,1,0,23*,,63,0,38,2019-2022
348056,,-,21.47,,9,0,0,73,,408,0,0,2020-2022
547749,,,23.71,,2,,0,53,,166,0,,2021-2021
670045,,-,,,0,0,,,,,0,0,2021-2021
677081,-7.22,15-May,20.77,28,3,1,0,29,,187,0,25,2018-2022
274921,,-,,,0,0,,,,,0,0,2018-2018
