id,bbad,bbi,bta,bwa,ct,fw,hn,hs,pr,rn,st,wk,sp
370040,-23.18,10-Apr,8.9,32.08,4,0,0,25,,89,0,25,2015-2023
1152427,-15.5,Mar-42,18.16,33.66,3,0,0,32,,109,0,9,2022-2023
652687,-14.66,14-Jan,22.33,37,2,0,0,56,,67,0,1,2021-2022
227760,,-,33.55,,119,0,2,105,,2315,24,0,2007-2021
1203995,,Jan-36,,73,0,0,0,4*,,4,0,1,2022-2022
1072470,-6.87,Jun-35,17,23.87,6,2,0,19*,,102,0,62,2018-2022
922943,-3.26,28-Apr,28.38,31.64,13,0,0,86,,596,0,70,2017-2022
233901,,,18.5,,2,,0,50,,111,0,,2019-2023
348152,,Jan-48,,48,1,0,,,,,0,1,2021-2021
43685,-29.77,26-Jun,18.14,47.91,6,1,0,32*,,127,0,24,2011-2019
433614,-46,Feb-59,9,55,0,0,0,9,,9,0,4,2022-2022
301236,3.38,Feb-36,34.71,31.33,38,0,4,139*,,3194,0,3,2010-2019
318845,-5.28,17-Jan,38.71,44,22,0,3,132,,1239,0,1,2014-2016
379145,-26.98,May-49,9,35.98,8,1,0,9*,,18,0,51,2016-2023
698143,,Jan-40,,86,1,0,0,10*,,14,0,2,2020-2021
337790,64.16,3-Jan,67.16,3,17,0,4,134,,1679,0,1,2019-2023
595004,,,41.22,,9,,0,95,,371,0,,2020-2022
379887,,Jan-62,,62,0,0,,,,,0,1,2021-2021
318842,,,29.2,,1,,0,54,,146,0,,2018-2021
550187,,,56,,0,,0,56,,56,0,,2021-2021
