id,span,matches,innings,not_out,runs,high_score,average_score,ball_faced,strike_rate,100s,50,0s,4s,6s
297628,2015-2022,37,33,5,478,87,17.07,368,129.89,0,2,1,41,16
10617,2006-2014,56,26,10,118,18*,7.37,118,100,0,0,2,7,3
911707,2022-2022,20,17,3,372,81*,26.57,270,137.77,0,1,0,30,15
8608,2007-2009,19,4,3,1,1*,1,2,50,0,0,1,0,0
308967,2011-2022,103,95,20,2602,101*,34.69,1804,144.23,1,19,6,233,108
662973,2019-2022,35,21,8,158,24,12.15,121,130.57,0,0,0,8,9
521637,2019-2022,8,8,2,242,70*,40.33,153,158.16,0,1,0,32,2
211855,2016-2022,11,5,1,57,34,14.25,36,158.33,0,0,0,8,2
364788,2019-2019,1,,,,,,,,,,,,
897549,,2,2,0,40,40,20,25,160,0,0,1,8,0
249866,2011-2022,75,75,8,2074,116*,30.95,1499,138.35,1,12,5,225,70
288992,2014-2022,84,50,22,422,36,15.07,309,136.56,0,0,3,30,21
643885,2019-2022,12,7,4,22,7*,7.33,28,78.57,0,0,1,2,0
398666,2014-2022,9,3,1,17,12*,8.5,17,100,0,0,1,1,1
403902,2017-2022,29,24,5,423,103,22.26,286,147.9,1,0,2,25,25
505120,2016-2022,47,28,5,277,29,12.04,273,101.46,0,0,4,19,9
272477,2017-2021,9,1,0,5,5,5,7,71.42,0,0,0,0,0
446548,2016-2016,3,,,,,,,,,,,,
326434,2018-2021,38,26,5,233,37*,11.09,215,108.37,0,0,2,19,7
489889,2011-2022,50,23,11,116,21,9.66,94,123.4,0,0,3,6,6
826915,2021-2022,5,2,0,1,1,0.5,9,11.11,0,0,1,0,0
5334,2011-2022,103,103,12,3120,172,34.28,2189,142.53,2,19,8,309,125
530011,2016-2022,17,16,3,345,48*,26.53,259,133.2,0,0,0,22,11
1076713,2022-2022,8,8,0,139,61,17.37,80,173.75,0,2,0,17,8
334337,2019-2019,2,2,1,33,20*,33,33,100,0,0,0,1,0
288284,2013-2022,41,7,5,22,13*,11,14,157.14,0,0,1,2,1
787987,2022-2022,1,1,0,2,2,2,4,50,0,0,0,0,0
215155,2016-2016,9,9,0,241,58,26.77,182,132.41,0,1,0,31,5
662235,2022-2022,9,9,1,220,48,27.5,156,141.02,0,0,1,24,3
272279,2016-2018,2,1,1,4,4*,,4,100,0,0,0,0,0
325026,2012-2022,98,90,14,2159,145*,28.4,1430,150.97,3,10,3,176,106
603410,2018-2022,23,21,4,269,53,15.82,285,94.38,0,1,3,16,8
272450,2011-2022,46,44,7,1086,77*,29.35,855,127.01,0,6,2,86,45
372116,2019-2022,33,32,4,635,72,22.67,547,116.08,0,1,4,56,15
486672,2017-2017,2,2,0,26,19,13,16,162.5,0,0,0,3,1
379143,2012-2022,77,76,9,2156,79*,32.17,1592,135.42,0,14,5,222,78
553249,2019-2021,13,6,2,40,17*,10,32,125,0,0,1,6,0
269280,2014-2022,48,47,1,1372,74,29.82,1094,125.41,0,11,2,160,22
696401,2022-2022,1,1,0,12,12,12,17,70.58,0,0,0,1,1
267724,2021-2022,25,6,1,69,41,13.8,64,107.81,0,0,2,5,4
605680,2019-2021,11,11,0,241,55,21.9,186,129.56,0,1,1,25,11
600498,2019-2022,31,27,4,879,70,38.21,595,147.73,0,9,1,73,39
379776,2021-2021,4,2,1,16,9*,16,13,123.07,0,0,0,0,2
321777,2010-2022,111,96,34,2147,106*,34.62,1489,144.19,2,6,1,141,103
698189,2021-2021,5,3,1,51,36,25.5,44,115.9,0,0,0,3,2
436757,2018-2022,38,34,6,687,81,24.53,468,146.79,0,4,1,55,31
265564,2009-2022,53,21,13,168,29*,21,172,97.67,0,0,1,13,4
540316,2017-2022,38,21,6,149,27*,9.93,129,115.5,0,0,6,16,4
327830,2017-2022,30,17,5,261,77*,21.75,159,164.15,0,1,2,22,15
481979,2019-2022,29,10,4,16,4*,2.66,33,48.48,0,0,2,1,0
550215,2014-2022,54,21,14,147,22,21,134,109.7,0,0,3,12,5
554691,2015-2023,40,25,12,288,65,22.15,189,152.38,0,1,1,24,13
422108,2016-2022,72,68,8,2265,110*,37.75,1628,139.12,2,22,5,191,99
542023,2017-2022,36,8,3,16,4*,3.2,30,53.33,0,0,2,1,0
1175441,2022-2022,10,2,1,10,8*,10,4,250,0,0,0,2,0
425943,2015-2023,17,16,1,301,77,20.06,225,133.77,0,1,1,23,13
1070173,2023-2023,6,6,1,202,126*,40.4,122,165.57,1,0,0,19,10
34102,2007-2022,148,140,17,3853,118,31.32,2767,139.24,4,29,10,348,182
475281,2018-2022,25,6,3,69,22*,23,38,181.57,0,0,2,5,4
1246528,,8,2,2,5,4*,,2,250,0,0,0,1,0
390484,2016-2018,10,,,,,,,,,,,,
719715,2017-2023,35,14,4,107,50,10.7,70,152.85,0,1,4,10,6
376116,2012-2022,9,2,1,22,20*,22,21,104.76,0,0,0,2,0
446507,2021-2023,48,46,10,1675,117,46.52,953,175.76,3,13,3,150,96
922941,2020-2020,3,3,1,41,41*,20.5,37,110.81,0,0,2,4,1
494230,2018-2022,55,49,13,544,41*,15.11,406,133.99,0,0,4,26,34
348144,2016-2022,99,94,13,3355,122,41.41,2625,127.8,2,30,5,355,50
681117,2017-2021,42,29,7,259,31,11.77,202,128.21,0,0,4,15,15
512191,2017-2022,72,66,3,1369,91,21.73,1061,129.02,0,8,5,139,45
40250,2007-2010,24,17,6,194,28,17.63,169,114.79,0,0,1,7,7
1168651,2020-2022,33,30,3,499,68,18.48,395,126.32,0,3,3,42,22
1161606,2020-2022,57,14,6,56,13*,7,41,136.58,0,0,2,4,4
681305,2016-2022,50,19,10,129,23,14.33,69,186.95,0,0,4,7,11
318788,2013-2019,14,13,2,210,52,19.09,204,102.94,0,2,1,16,3
480603,2016-2022,43,36,11,654,62*,26.16,523,125.04,0,3,1,47,23
568276,2019-2019,2,2,0,21,14,10.5,25,84,0,0,0,2,0
716733,2019-2022,24,22,7,309,36*,20.6,279,110.75,0,0,0,22,13
1205559,,5,5,0,104,31,20.8,75,138.66,0,0,0,6,7
1158100,2019-2022,27,11,10,24,8*,24,26,92.3,0,0,0,2,1
348148,2016-2022,55,34,10,422,45*,17.58,324,130.24,0,0,4,36,19
323389,2015-2022,80,69,15,2635,104*,48.79,2081,126.62,1,23,3,228,69
1185538,2021-2022,26,9,5,36,12*,9,46,78.26,0,0,1,5,0
1158088,2022-2022,16,5,2,23,14*,7.66,11,209.09,0,0,2,1,2
364343,2015-2022,53,19,8,65,22,5.9,83,78.31,0,0,3,5,2
56143,2006-2022,109,108,11,2243,84,23.12,1842,121.76,0,12,7,225,47
990039,2021-2022,29,10,5,15,6,3,17,88.23,0,0,3,2,1
697059,2018-2018,1,1,0,10,10,10,9,111.11,0,0,0,1,0
538506,2014-2022,46,22,10,107,15*,8.91,119,89.91,0,0,2,8,4
56194,2007-2020,78,78,5,1758,103*,24.08,1503,116.96,1,7,6,188,45
401057,2019-2019,2,1,1,0,0*,,1,0,0,0,0,0,0
453277,2022-2022,2,1,1,1,1*,,3,33.33,0,0,0,0,0
629059,2022-2022,10,10,3,94,42*,13.42,74,127.02,0,0,0,9,3
436677,2015-2022,72,72,3,1212,68,17.56,990,122.42,0,5,11,119,46
392945,2016-2022,23,16,4,157,28,13.08,158,99.36,0,0,3,9,6
951781,2020-2022,30,27,8,385,66*,20.26,356,108.14,0,1,0,23,13
299572,2013-2022,66,63,3,1259,87,20.98,977,128.86,0,6,6,99,47
55870,2006-2023,68,68,7,1482,66,24.29,1182,125.38,0,10,4,140,36
227760,2010-2021,61,42,12,818,89*,27.26,653,125.26,0,3,2,79,15
922943,2017-2022,84,38,13,476,52,19.04,331,143.8,0,1,3,28,28
1203995,2021-2022,11,1,0,16,16,16,6,266.66,0,0,0,0,2
1072470,2018-2022,47,8,4,41,16,10.25,32,128.12,0,0,1,3,2
